"accession","species","type","title","summary","nsamples"
"GSE228320","Homo sapiens","Expression profiling by high throughput sequencing","Whole blood transcriptional profiling of pulmonary functional sequelae in ARDS- secondary to SARS-CoV-2 infection","Up to 80% of patients surviving acute respiratory distress syndrome (ARDS) secondary to SARS-CoV-2 infection present persistent anomalies in pulmonary function after hospital discharge. There is a limited understanding of the mechanistic pathways linked to post-acute pulmonary sequelae. Our main goal was to identify the molecular underpinnings associated with severe lung diffusion involvement in survivors of SARS-CoV-2-induced ARDS. Survivors attended to a complete pulmonary evaluation 3 months after hospital discharge. RNA sequencing (RNA-seq) was performed using Illumina technology in whole-blood samples from 50 patients with moderate to severe diffusion impairment (DLCO<60%) and age- and sex-matched individuals with mild-normal lung function (DLCO≥60%). A transcriptomic signature for optimal classification was constructed using random forest. Transcriptomic data were analyzed for biological pathway enrichment, cellular deconvolution, cell/tissue-specific gene expression and candidate drugs. RNA-seq identified 1357 differentially expressed transcripts. A model composed of 14 mRNAs allowed the optimal discrimination of survivors with severe diffusion impairment (AUC=0.979). Hallmarks of lung sequelae involved cell death signaling, cytoskeleton reorganization, cell growth and differentiation and the immune response. Resting natural killer (NK) cells were the most important immune cell subtype for the prediction of severe diffusion impairment. Components of the signature correlated with neutrophil, lymphocyte and monocyte counts. A variable expression profile of the transcripts was observed in lung cell subtypes and bodily tissues. One upregulated gene, TUBB4A, constitutes a target for FDA-approved drugs. This work defines the transcriptional programme associated with post-acute pulmonary sequelae and provides novel insights for targeted interventions and biomarker development.",50
"GSE210284","Homo sapiens","Expression profiling by array","Investigation of the anti-tumor mechanism of tirabrutinib, a highly selective Bruton’s tyrosine kinase inhibitor, by transcriptomics","Tirabrutinib is a highly selective BTK inhibitor for treating hematological malignancies. This study analyzed the anti-tumor mechanism of tirabrutinib with microarray analysis of ABC-DLBCL xenograft model tumors. The comprehensive gene expression analysis revealed that tirabrutinib downregulated IRF-4, MYC, and mTORC1 pathway-related genes in TMD8, suggesting the crucial roles of these pathways in ABC-DLBCL.",25
"GSE208658","Escherichia coli","Expression profiling by high throughput sequencing","Global Transcriptional Response of Escherichia coli Exposed In Situ to Different Low-Dose Ionizing Radiation Sources","Characterization of biological and chemical responses to ionizing radiation by various organisms is essential for potential applications in bioremediation, alternative modes of detecting nuclear material, and national security. Escherichia coli DH10β is an optimal system to study the microbial response to low-dose ionizing radiation at the transcriptional level because it is a well-characterized model bacterium and its responses to other environmental stressors, including those to higher radiation doses, have been elucidated in prior studies. In this study, RNA sequencing with downstream transcriptomic analysis (RNA-seq) was employed to characterize the global transcriptional response of stationary-phase E. coli subjected to Pu-239, H-3 (tritium), and Fe-55, at an approximate absorbed dose rate of 10 mGy day-1 for 1 day and 15 days. Differential expression analysis identified significant changes in gene expression of E. coli for both short- and long-term exposures. Radionuclide source exposure induced differential expression in E. coli of genes involved in biosynthesis pathways of nuclear envelope components, amino acids, and siderophores, transport systems such as ABC transporters and type II secretion proteins, and initiation of stress response and regulatory systems of temperature stress, the RpoS regulon, and oxidative stress. These findings provide a basic understanding of the relationship between low-dose exposure and biological effect of a model bacterium that is critical for applications in alternative nuclear material detection and bioremediation. IMPORTANCE Escherichia coli strain DH10β, a well-characterized model bacterium, was subjected to short-term (1-day) and long-term (15-day) exposures to three different in situ radiation sources comprised of radionuclides relevant to nuclear activities to induce a measurable and identifiable genetic response. We found E. coli had both common and unique responses to the three exposures studied, suggesting both dose rate- and radionuclide-specific effects. This study is the first to provide insights into the transcriptional response of a microorganism in short- and long-term exposure to continuous low-dose ionizing radiation with multiple in situ radionuclide sources and the first to examine microbial transcriptional response in stationary phase. Moreover, this work provides a basis for the development of biosensors and informing more robust dose-response relationships to support ecological risk assessment.",30
"GSE97567","Bacillus anthracis; Bacillus anthracis str. Sterne","Expression profiling by array","Identification of Bacillus anthracis genes differentially expressed in human serum","Bacillus anthracis causes anthrax infections in mammals. Large-scale mortality resulting from the intentional release of B. anthracis spores represents a potential bioterrorism threat. Inhalational anthrax almost invariably proceeds to fatal systemic infection, characterized by massive bacteremia. A better understanding of host-pathogen interactions is urgently needed for effective treatment of this lethal disease. However, virulence mechanisms used by B. anthracis to survive and multiply in human blood are not completely understood. Identification of genes that are differentially expressed during the growth of B. anthracis in human serum can elucidate how this pathogen successfully colonizes the bloodstream. We compared the transcriptional profile of B. anthracis growing in heat-inactivated human serum to that in LB medium. Genes involved in the biosynthesis of purines, certain amino acids and riboflavin and lipid metabolism, genes encoding ABC transporters, respiratory enzymes and several genes with hypothetical function were identified as being upregulated during growth in serum.",4
"GSE182805","Mus musculus","Genome binding/occupancy profiling by high throughput sequencing","A molecular pathway for transcriptional regulation of daily sleep need in mice","Different mammalian species vary greatly in their daily sleep quota, ranging from 2-4 hours in giraffes to 20-22 hours in koalas and bats. In humans, the sleep quantity and quality of individuals are governed by genetic factors and exhibit age-dependent variations. However, the molecular pathways and effector mechanisms that regulate daily sleep need in mammals remain unknown. Here, using an adult brain chimeric (ABC)-expression/knockout (KO) system for somatic genetics analysis of sleep in adult mice, we report that gain-of-function of histone deacetylases HDAC4/5 significantly reduces, whereas loss-of-function of HDAC4/5 increases daily non-rapid eye movement sleep (NREMS) amount and delta power–two key indicators of sleep need. Similarly, ABC-expression of cAMP-response element binding protein (CREB) or A-CREB, an inhibitor of transcriptional activity of CREB, decreases or increases NREMS amount and delta power, respectively. A combination of genetic and transcriptomic analysis reveals that HDAC4 functions in tandem with CREB in both transcriptional and sleep regulation. Consistent with their functions downstream of LKB1-SIK3 kinase cascade, ABC-expression of HDAC4/5CA or CREB rescues hypersomnia of Sik3E13∆/+ mice, whereas ABC-expression of SIK3/SLP-ST221E or HDAC(4+5)VP16 rescues insomnia of ABC-Lkb1KO mice. Taken together, these results identify LKB1-SIK3-HDAC4/5-CREB as the first major molecular pathway for transcriptional regulation of daily sleep need in mammals.",4
"GSE182907","Mus musculus","Expression profiling by high throughput sequencing","A signaling pathway for transcriptional regulation of sleep amount in mice","In mice and humans, sleep quantity of individuals are governed by genetic factors and exhibit age-dependent variations. However, the core molecular pathways and effector mechanisms that regulate sleep time in mammals remain unclear. Here, we characterize a major signaling pathway for transcriptional regulation of sleep quantity in mice by adeno-associated virus-mediated somatic genetics analysis. Adult brain chimeric-knockout of LKB1 kinase, an activator of AMPK-related protein kinase SIK3/SLEEPY, markedly reduces non-rapid eye movement sleep (NREMS) amount and delta power–a measure of sleep depth. Downstream of LKB1-SIK3 pathway, gain or loss-of-function of histone deacetylases HDAC4/5 in adult brain neurons causes bidirectional changes of NREMS amount and delta power. Phosphorylation of HDAC4/5 is regulated in relation to sleep need, and HDAC4 specifically regulates sleep amount in posterior hypothalamus. Genetic and transcriptomic studies reveal that HDAC4 cooperates with CREB in both transcriptional and sleep regulation. These findings introduce the concept of signaling pathways targeting transcription modulators to regulate daily sleep amount and demonstrate utility of somatic genetics in mouse sleep research.",120
"GSE223807","Mus musculus","Expression profiling by high throughput sequencing","Lineage-specific iPSC-Derived SMC Modeling Predicts Integrin Alpha-V Antagonism Reduces Aortic Root Aneurysm Formation in Marfan Syndrome Mice","Aortic single-cell RNA sequencing data from Fbn1C1041G/+ mice treated with GLPG0187 or vehicle control.",2
"GSE200520","Mus musculus","Other","Peripheral blood T helper cells circulate with pathogenic tissue resident T helper cells in chronic GVHD","Chronic graft versus host disease (cGVHD) is a systemic autoimmune-like syndrome.  The role of Tph cells in the pathogenesis of cGVHD has not been examined, although previous studies have shown that cGVHD is characterized by loss of Tfh cells. Here, we show that in cGVHD patients and in a murine model that reflects characteristic features of human cGVHD, the proportions of Tph cells among CD4+ T cells in the blood were expanded.  These cells augmented memory B cell differentiation and production of IgG via IL-21. Adoptive transfer experiments showed recirculation between Tph in the blood and tissue-resident T helper (Trh) cells in GVHD target tissues.  The TCR repertoires of blood Tph cells and Trh cells in GVHD target tissues of mice were highly overlapping.",7
"GSE208741","Mus musculus","Genome binding/occupancy profiling by high throughput sequencing","The genome wide mapping of H3K9 and H3K23 acetylation in Moz+/+ and Moz-/- MOZ-TIF2 AML cells","Monocytic leukemia Zinc finger protein (MOZ) is a MYST-type acetyltransferase involved in chromosomal translocation in acute myelogenous leukemia (AML) and myelodysplastic syndrome. MOZ is established as essential for hematopoiesis; however, the role of MOZ in AML has not been addressed. We propose that MOZ is critical for AML development induced by MOZ-TIF2 fusions. Moz-deficient hematopoietic stem/progenitor cells (HSPCs) expressing MOZ-TIF2 could form colonies in vitro but could not induce AML in mice. By contrast, Moz was dispensable for colony formation by HOXA9-transduced cells and AML development caused by HOXA9 and MEIS1, suggesting a specific requirement for MOZ in AML induced by MOZ/MLL-fusions. Expression of the of Meis1, but not Hoxa9, was reduced in Moz-deficient MOZ-TIF2 AML cells. AML development induced by MOZ-TIF2 was rescued by introducing Meis1 into Moz-deficient cells carrying MOZ-TIF2. Meis1 deletion impaired MOZ-TIF2­-mediated AML development. Active histone modifications were also severely reduced at the Meis1 locus in Moz-deficient MOZ-TIF2 AML cells. These results suggest that endogenous MOZ is critical for MOZ-fusion-induced AML development and maintains active chromatin signatures at target gene loci.",8
"GSE186845","Mus musculus","Expression profiling by high throughput sequencing","Embryologic Origin Influences Smooth Muscle Cell Phenotypic Modulation Signatures in Murine Marfan Syndrome Aortic Aneurysm","Aortic single-cell RNA sequencing data from second heart field lineage traced mice with Fbn1C1041G/+ and control mice.",8
"GSE168531","Mus musculus","Expression profiling by array","Trib1 promotes the development of acute myeloid leukemia in the Ts1Cje Down syndrome model mouse","Down syndrome (DS) is caused by trisomy of chromosome 21 and it predisposes to hematological disorders such as transient myeloproliferative disorder and acute megakaryocytic leukemia. Our previous study identified a gain-of-function mutation of TRIB1 encoding a pseudokinase that suppresses C/EBP and enhances MEK/ERK signaling. In this study, we aimed to examine whether Trib1 expression cooperates with trisomy 21 in the development of leukemia. The wild type or R107L mutant Trib1 was retrovirally introduced into bone marrow cells derived from the Ts1Cje Down syndrome model mice or C57Bl6/J mice. Trib1 expression in hematopoietic cells of Ts1Cje mice accelerated the onset of AML development compared with that in wild type mice. Gene expression analysis showed up-regulation of Hox downstream genes and down-regulation of genes for the myeloid differentiation program and C/EBP targets. These results suggest that Trib1-mediated signaling plays an important role in promoting leukemogenesis in Down syndrome. We used microarrays to detail the global program of gene expression in mouse AML",12
"GSE153534","Homo sapiens; Mus musculus","Expression profiling by high throughput sequencing","Aortic smooth muscle cell phenotype modulation during Marfan syndrome aneurysm formation","We report dynamic temporal and spatial smooth muscle cell phenotype modulation using aortic single cell RNA sequencing in a murine model of Marfan syndrome (Fbn1C1041G/+) and littermate controls. Aortic root/ascending aortic tissue samples from both genotypes were studied at 4 and 24 weeks of age. The non-aneurysmal descending thoracic aorta was also studied at 24 weeks. Finally human aortic tissue from a Marfan syndrome patient undergoing aneurysm repair surgery was studied.",8
"GSE104499","Homo sapiens","Expression profiling by RT-PCR","Gorlin syndrome-derived induced pluripotent stem cells are hypersensitive to Hedgehog-mediated osteogenic induction","Gorlin syndrome is an autosomal dominant inherited syndrome that predisposes a patient to the formation of basal cell carcinomas, odontogenic keratocysts, and skeletal anomalies. Patched-1 (PTCH1) is a Hedgehog (Hh) receptor that acts as a negative regulator of constitutive Hh signaling by preventing the G protein-coupled receptor Smoothened from entering the cilium in the absence of Hh protein binding. We generated iPSCs from four unrelated Gorlin syndrome patients with loss-of-function mutations in PTCH1 using the Sendai virus vector (SeVdp(KOSM)302).  The patient-derived iPSCs exhibited basic iPSC features, including stem cell marker expression, totipotency, and the ability to form teratomas. To check the Patient-derived iPSCs mimic patinet phenotype, We performted osteoblast differentiation and checked mRNA expression by hedgehog PCR array systems.",12
"GSE76700","Mus musculus","Expression profiling by array","Whole transcriptome analysis of mouse brain with chronic diazepam treatment","Global transcriptional analysis of chronic DZP administrated mouse brain using microarrays identified some up- and down- regulated genes after chronic DZP administrations. Diazepam (DZP), a medication of the benzodiazepine family, is widely used to treat various conditions including anxiety, muscle spasms, seizures, trouble sleeping, and alcohol withdrawal syndrome. Chronic DZP treatment has significant risks such as tolerance, dependence, withdrawal effect and Alzheimer's disease. As the molecular mechanisms of these risks were complex processes, global analysis has been required.",36
"GSE40568","Homo sapiens","Expression profiling by array","DNA microarray analysis of labial salivary glands in IgG4-related disease – comparison with Sjögren’s syndrome","<Objective> To compare gene expression in labial salivary glands (LSG) of IgG4-related disease (IgG4-RD) with Sjögren’s syndrome (SS). <Methods> Gene expression was analyzed by DNA microarray in LSG of IgG4-RD (n=5), SS (n=5), and healthy controls (n=3). Differentially expressed genes (DEGs) in IgG4-RD and SS were identified, and gene-annotation enrichment analysis of these DEGs was performed using Gene Ontology (GO) annotation. Validation of the result was performed by quantitative PCR using LSG from IgG4-RD (n=9), SS (n=10), and controls (n=4). <Results> Gene expression patterns in IgG4-RD, SS, and healthy controls were quite different with each other in hierarchical clustering as well as principal component analysis. In IgG4-RD, 1771 up-regulated probe sets (corresponding to 1321 up-regulated genes) and 1785 down-regulated probe sets (corresponding to 1320 down-regulated genes) were identified as DEGs (false discovery rate <0.05). GO term analysis indicated that the up-regulated set of DEGs in IgG4-RD encoded proteins that function in cell proliferation, extracellular matrix organization, and organ development. PCR validated significantly higher expression of lactotransferrin (LTF) in IgG4-RD than SS (P<0.05), and chemokine (C-C motif) ligand 18 (CCL18) in IgG4-RD than SS and controls (P<0.05). <Conclusion> The results clearly showed that the gene expression pattern in LSG of IgG4-RD is different from that of SS. ",13
"GSE50088","Mus musculus","Expression profiling by array","Lung injury induced by common bile duct ligation in mice","Liver dysfunction and cirrhosis affect vasculature in several organ systems and cause impairment of organ functions, thereby increasing morbidity and mortality. If a mouse model of hepatopulmonary syndrome (HPS) could be established, greater insight into the genetic basis of the disease would be gained. Our objectives were to establish a mouse model of lung injury after common bile duct ligation (CBDL) and to investigate pulmonary pathogenesis for application in future therapeutic approaches. Balb/c mice were subjected to CBDL. Immunohistochemical analyses and real-time quantitative reverse transcriptional polymerase chain reaction were performed on pulmonary tissues. The presence of HPS markers were detected by western blot and microarray analyses. We observed extensive proliferation of CD31-positive pulmonary vascular endothelial cells 2 weeks after CBDL, and identified 11 up-regulated and 8 down-regulated proteins that were associated with angiogenesis. MMP-9 protein was highly expressed at 3 weeks after CBDL, and less expressed in lungs of the control group. Contrary to our expectation, lung pathology in our mouse model exhibited differences from that of rat models, and the mechanisms responsible for these differences are unknown. This phenomenon may be explained by contrasting processes related to TNF induction of angiogenic signaling pathways in the inflammatory phase; thus, we suggest that our mouse model can be applied to pulmonary pathological analyses in the inflammatory phase, i.e., to systemic inflammatory response syndrome, acute lung injury, and MOD syndrome.",3
"GSE38626","Homo sapiens","Expression profiling by array","Induced pluripotent stem cells from CINCA syndrome patients as a model for dissecting somatic mosaicism and drug discovery","Chronic infantile neurological cutaneous and articular (CINCA) syndrome is an IL-1-driven autoinflammatory disorder caused mainly by NLRP3 mutations. The pathogenesis of CINCA syndrome patients who carry NLRP3 mutations as somatic mosaicism has not been precisely described because of the difficulty in separating individual cells based on the presence or absence of the mutation. Here, we report the generation of NLRP3-mutant and non-mutant induced pluripotent stem cell (iPSC) lines from two CINCA syndrome patients with somatic mosaicism, and describe their differentiation into macrophages (iPS-MPs). We found that mutant cells are predominantly responsible for the pathogenesis in these mosaic patients because only mutant iPS-MPs showed the disease relevant phenotype of abnormal IL-1β secretion. We also confirmed that the existing anti-inflammatory compounds inhibited the abnormal IL-1β secretion, indicating that mutant iPS-MPs are applicable for drug screening for CINCA syndrome and other NLRP3-related inflammatory conditions. Our results illustrate that patient-derived iPSCs are useful for dissecting somatic mosaicism, and that NLRP3-mutant iPSCs can provide a valuable platform for drug discovery for multiple NLRP3-related disorders.",15
"GSE19069","Homo sapiens","Expression profiling by array","Molecular signatures in peripheral T-cell lymphoma (PTCL)","Molecular signatures to improve diagnosis in PTCL and prognostication in angioimmunoblastic T-cell lymphoma (AITL). Gene expression profiling of PTCL patient samples was performed to investigate whether molecular signatures can be used to identify distinct entities of PTCL.",147
"GPL8300","Homo sapiens","","[HG_U95Av2] Affymetrix Human Genome U95 Version 2 Array","Affymetrix submissions are typically submitted to GEO using the GEOarchive method described at http://www.ncbi.nlm.nih.gov/projects/geo/info/geo_affy.html  June 03, 2009: annotation table updated with netaffx build 28 June 08, 2012: annotation table updated with netaffx build 32 June 27, 2016: annotation table updated with netaffx build 35 Protocol: see manufacturer's web site  Based on this UniGene build and associated annotations, the HG-U95Av2 array represents approximately 10,000 full-length genes. ",NA
"GSE213935","Homo sapiens","Expression profiling by high throughput sequencing","Identifying therapeutic vulnerability in ataxia telangiectasia and Rad3-related protein (ATR) inhibitor resistant splicing factor mutant myeloid malignancies","The goal of this study is to undertake splicing analysis to validate clones derived from K562 cell lines which have been CRISPR engineered to carry mutations frequently observed in hematologic cancers on splicing factor U2af1.",20
"GSE280998","Mus musculus","Expression profiling by high throughput sequencing","Gene expression profile of Purkinje cells in Kcnd3 F227del mice ","Spinocerebellar ataxia type 22 (SCA22) caused by KCND3 mutations is an autosomal dominant disorder. We establish a mouse model carrying the Kcnd3 F227del mutation to study the molecular pathogenesis. Four findings are pinpointed. Firstly, the heterozygous mice exhibit an early onset of defects in motor coordination and balance, which mirror the SCA22 patients. The degeneration and a minor loss of Purkinje cells together with the concurrent presence of neuroinflammation, as well as the previous finding on electrophysiological changes, may all contribute to the development of the SCA22 ataxia phenotype in mice carrying the Kcnd3 F227del mutant protein. Secondly, the mutant protein is retained by the endoplasmic reticulum and Golgi leading to activation of the unfolded protein response and a severe trafficking defect that affects its membrane destination. Intriguingly, profound damage to Golgi is the earliest manifestation. Thirdly, transcriptomic analysis revealed that the Kcnd3 F227del mutation down-regulates a panel of genes involved in the functioning of synapse and neurogenesis which are tightly linked to the functioning of Purkinje cells. Finally, no ataxia phenotypes are detectable in knockout mice carrying a loss-of-function Kcnd3 mutation. Thus, the Kcnd3 F227del is a dominant-negative mutation. Additionally, this mouse model can serve as a pre-clinical model for exploring therapeutic strategies to treat patients.",9
"GSE266440","Homo sapiens","Non-coding RNA profiling by high throughput sequencing","MicroRNA dysregulation in Ataxia Telangiectasia","Ataxia Telangiectasia (AT) is a rare disorder characterized by neurodegeneration, combined immunodeficiency, predisposition to malignancies and high clinical variability. MicroRNAs (miRNAs) profiling may provide information on the pathophysiology of complex rare human diseases as they are involved in numerous biological functions including proliferation, differentiation, and DNA repair. To investigate the differential expression of miRNAs in AT patient samples with the aim of identifying miRNA signatures and correlate these patterns with disease pathogenesis. Twenty AT patients (mean age 17.7 + 9.6 years) were enrolled in the study. Clinical and genetic data were collected. We performed a small RNA-seq analysis in PBMCs and fibroblasts to compare miRNA expression profiles in AT patients and controls, and to identify specific expression signatures for AT. We found 42 differentially expressed (DE)-miRNAs in blood samples and 26 in fibroblasts samples. Three DE-miRNAs, miR-342-3p, miR-30a-5p, and miR-195-5p were validated in further AT samples and their dysregulation was confirmed.We identified for the first time, an AT-associated miRNA signature in blood cells and fibroblast samples obtained from a cohort of AT patients. Several pathways were predicted commonly deregulated, mainly involved in cancer. miRNAs may provide information on AT pathophysiology and tumorigenesis.",18
"GSE266411","Homo sapiens","Non-coding RNA profiling by high throughput sequencing","Analysis of microRNA levels in fibroblast of Ataxia Telangiectasia","Ataxia Telangiectasia (AT) is a rare disorder characterized by neurodegeneration, combined immunodeficiency, a predisposition to malignancies and high clinical variability. Profiling of microRNAs (miRNAs) may offer insights into the underlying mechanisms of complex rare human diseases, as miRNA play a role in various biological functions including proliferation, differentiation, and DNA repair. To investigate the differential expression of miRNAs in samples from AT patients with the aim of identifying miRNA patterns and to investigate how these patterns are related to the disease. We performed short a small RNA-seq analysis on fibroblasts to compare the miRNA expression profile between AT patients and controls. We identified, an AT-related miRNA signature in blood cells and fibroblast samples collected from a group of AT patients. We also predicted several dysregulated pathways, primarily related to cancer, immune system control or inflammatory processes. The findings suggest that miRNAs may provide insights into the pathophysiology and tumorigenesis of AT and have the potential to serve as useful biomarkers in cancer research.",6
"GSE267449","Homo sapiens","Expression profiling by high throughput sequencing","Expanded ATXN1 alters transcription and calcium signaling in SCA1 human motor neurons derived from induced pluripotent stem cells","Dysfunction and loss of motor neurons (MNs) in the brain stem and spinal cord is hypothesized to contribute to premature lethality in spinocerebellar ataxia type 1 (SCA1) by affecting the swallowing and breathing. Despite the usefulness of SCA1 mouse models in studying pathogenesis, they have important limitations including species differences and extreme size of repeats in comparison to the repeat length present in adult SCA1 patients. Thus, to study early stages of SCA1 pathogenesis that have been shown to be most therapeutically effective in human cells, we have created a human motor neuron model of SCA1. We differentiated MNs patient and unaffected control-donated iPSCs to assess the effect of mutant ATXN1 on this vulnerable cell population with the goal to provide insight to human cellular pathology in this cell type and facilitate the development of therapies to limit pathogenesis in SCA1.",14
"GSE222336","Arabidopsis thaliana","Expression profiling by high throughput sequencing","Aluminum-induced terminal differentiation in Arabidopsis roots requires the stem cell niche transcription factor ETHYLENE RESPONSE FACTOR 115","Aluminum-dependent stoppage of root growth and terminal differentiation depend on a functional DNA damage response pathway comprised of the master cell cycle checkpoint ATR (ATAXIA TELANGIECTASIA-MUTATED AND RAD3-RELATED) and p53-like transcription factor SOG1 (SUPPRESSOR OF GAMMA RADIATION 1). Mutational loss of either results in failure to trigger endoreduplication following Al treatment even in the Al-hypersensitive mutant, als3-1. Transcriptome analyses were used to identify several Al-induced SOG1-regulated targets as candidate mediators of Al-dependent growth arrest including SMR5, SMR7, ERF114 and ERF115. Analysis of these factors either as loss-of-function/silenced mutants or by overexpression in the als3-1 background indicates ERF115, a key transcription factor involved in stem cell niche restoration, is important for the switch from an actively growing root to one that has terminally differentiated. Consistent with this, a putative ERF115 ortholog and other DDR factors from barley are also upregulated following Al exposure, suggesting a conserved role for this ATR-dependent pathway in response to Al. In contrast to other ts show that ERF115 and related family members are important determinants for the switch to endoreduplication in the root tip following Al exposure and a central output of the ATR-mediated pathway in Al response.",18
"GSE269430","Mus musculus","Expression profiling by high throughput sequencing","Dysregulation of zebrin-II cell subtypes in the cerebellum is a shared feature across polyglutamine ataxia mouse models and patients","Spinocerebellar ataxia type 7 (SCA7) is a genetic neurodegenerative disorder caused by a CAG-polyglutamine repeat expansion. Purkinje cells (PCs) are central to the pathology of ataxias, but their low abundance in the cerebellum underrepresents their transcriptomes in sequencing assays. To address this issue, we developed a PC enrichment protocol and sequenced individual nuclei from mice and patients with SCA7. Single-nucleus RNA sequencing in SCA7-266Q mice revealed dysregulation of cell identity genes affecting glia and PCs. Specifically, genes marking zebrin-II PC subtypes accounted for the highest proportion of DEGs in symptomatic SCA7-266Q mice. These transcriptomic changes in SCA7-266Q mice were associated with increased numbers of inhibitory synapses as quantified by immunohistochemistry and reduced spiking of PCs in acute brain slices. Dysregulation of zebrin-II cell subtypes was the predominant signal in PCs of SCA7-266Q mice and was associated with the loss of zebrin-II striping in the cerebellum at motor symptom onset. We furthermore demonstrated zebrin-II stripe degradation in additional mouse models of polyglutamine ataxia and observed decreased zebrin-II expression in the cerebella of patients with SCA7. Our results suggest that a breakdown of zebrin subtype regulation is a shared pathological feature of polyglutamine ataxias.",2
"GSE248032","Homo sapiens","Expression profiling by high throughput sequencing","Double strand break repair protein TIRR regulates RNA metabolism in response to DNA damage and cell stress [RNA-Seq]","Tudor interacting repair regulator (TIRR) is a well-studied p53 binding protein 1 (53BP1) interactor in response to DNA double strand breaks (DSBs). TIRR is also an RNA binding protein, however its role in RNA regulation in response to cellular insults is not understood.  Here we show that TIRR binds to specific group of mRNAs in response to DNA damage. TIRR bound transcripts encode for transcription factors and RNA polymerase II (RNAPII) transcription regulators. Furthermore, TIRR modulates the formation of RNA processing bodies (P bodies/PBs), in response to DSBs. TIRR also regulates the formation of the closely related but distinct compartments known as stress granules (SGs) in response to cell stress. Furthermore, TIRR dissociates from 53BP1 in response to sodium arsenite treatment independently of Ataxia Telangiectasia Mutated Protein (ATM) signalling. Finally, TIRR interacts with the nuclear export protein Exportin-1 (XPO1) upon DNA damage. TIRR bound RNA co-localises with PB and SGs and TIRR depletion leads to nuclear RNA retention. This work reveals that TIRR orchestrates mRNA nuclear export, metabolism and storage in PBs/SGs. Hence TIRR regulates RNA mediated DNA damage and cell stress responses independently of its canonical 53BP1 binding role.",18
"GSE227684","Homo sapiens","Other","Double strand break repair protein TIRR regulates RNA metabolism in response to DNA damage and cell stress [RIP-seq]","Tudor interacting repair regulator (TIRR) is a well-studied p53 binding protein 1 (53BP1) interactor in response to DNA double strand breaks (DSBs). TIRR is also an RNA binding protein, however its role in RNA regulation in response to cellular insults is not understood. Here we show that TIRR binds to specific group of mRNAs in response to DNA damage. TIRR bound transcripts encode for transcription factors and RNA polymerase II (RNAPII) transcription regulators. Furthermore, TIRR modulates the formation of RNA processing bodies (P bodies/PBs), in response to DSBs. TIRR also regulates the formation of the closely related but distinct compartments known as stress granules (SGs) in response to cell stress. Furthermore, TIRR dissociates from 53BP1 in response to sodium arsenite treatment independently of Ataxia Telangiectasia Mutated Protein (ATM) signalling. Finally, TIRR interacts with the nuclear export protein Exportin-1 (XPO1) upon DNA damage. TIRR bound RNA co-localises with PB and SGs and TIRR depletion leads to nuclear RNA retention. This work reveals that TIRR orchestrates mRNA nuclear export, metabolism and storage in PBs/SGs. Hence TIRR regulates RNA mediated DNA damage and cell stress responses independently of its canonical 53BP1 binding role.",6
"GSE267802","Rattus norvegicus","Expression profiling by high throughput sequencing","Mutant androgen receptor induces neurite loss and senescence independently of ARE binding in a neuronal model of SBMA","Spinal and bulbar muscular atrophy (SBMA) is a slowly progressing neuromuscular disease caused by a polyglutamine (polyQ)-encoding CAG repeat expansion in the androgen receptor (AR) gene, leading to AR aggregation, lower motor neuron death, and muscle atrophy. AR is a ligand-activated transcription factor that regulates neuronal architecture and promotes axon regeneration; however, whether AR transcriptional functions contribute to disease pathogenesis is not fully understood. Using a differentiated PC12 cell model of SBMA, we identified dysfunction of polyQ-expanded AR in its regulation of neurite growth and maintenance. Specifically, we found that in the presence of androgens, polyQ-expanded AR inhibited neurite outgrowth, induced neurite retraction, and inhibited neurite regrowth. This dysfunction was independent of polyQ-expanded AR transcriptional activity at androgen response elements (AREs). We further showed that the formation of polyQ-expanded AR intranuclear inclusions promoted neurite retraction, which coincided with reduced expression of the neuronal differentiation marker -III-Tubulin. Finally, we revealed that cell death is not the primary outcome for cells undergoing neurite retraction; rather, these cells become senescent. Our findings reveal that mechanisms independent of AR canonical transcriptional activity underly neurite defects in a cell model of SBMA and identify senescence as a previously unappreciated pathway implicated in this pathology. These findings suggest that, in the absence of a role for AR canonical transcriptional activity in the SBMA pathologies described here, the development of SBMA therapeutics that preserve this activity may be desirable. This approach may be broadly applicable to other polyglutamine diseases such as Huntington’s disease and spinocerebellar ataxias.",12
